year,agency_code,agency_name,eav_total,tax_amount,tax_rate,filename
2006,02-0180-000,TOWN OAK PARK,1461989313,1842106.53,0.126,020180000_TOWN_OAK_PARK_2006.pdf
2006,02-0180-002,GENERAL ASSISTANCE OAK PARK,1461989313,409357.01,0.028,020180002_GENERAL_ASSISTANCE_OAK_PARK_2006.pdf
2006,02-0180-004,OAK PARK MENTAL HEALTH DISTRICT,1461989313,1271930.70,0.087,020180004_OAK_PARK_MENTAL_HEALTH_DISTRICT_2006.pdf
2006,03-0920-000,VILLAGE OF OAK PARK,1461989313,16359660.41,1.119,030920000_VILLAGE_OF___OAK_PARK_2006.pdf
2006,03-0920-001,VILLAGE OF OAK PARK LIBRARY FUND,1461989313,7616964.32,0.521,030920001_VILLAGE_OF_OAK_PARK_LIBRARY_FUND_2006.pdf
2006,04-0580-000,SCHOOL DISTRICT 97,1461989313,45847984.86,3.136,040580000_SCHOOL_DISTRICT__97_2006.pdf
2006,04-2020-000,CONSOLIDATED HIGH SCHOOL 200,1461989313,42470789.54167719,2.90499999993346,042020000_CONSOLIDATED_HIGH_SCHOOL__200_2006.pdf
2006,05-0760-000,OAK PARK PARK DISTRICT,1461989313,6359653.51,0.435,050760000_OAK_PARK_PARK_DISTRICT_2006.pdf
2007,02-0180-000,TOWN OAK PARK,1537939260,1907044.68,0.124,020180000_TOWN_OAK_PARK_2007.pdf
2007,02-0180-002,GENERAL ASSISTANCE OAK PARK,1537939260,461381.78,0.030,020180002_GENERAL_ASSISTANCE_OAK_PARK_2007.pdf
2007,02-0180-004,OAK PARK MENTAL HEALTH DISTRICT,1537939260,1291868.98,0.084,020180004_OAK_PARK_MENTAL_HEALTH_DISTRICT_2007.pdf
2007,03-0920-000,VILLAGE OF OAK PARK,1537939260,17378713.64,1.130,030920000_VILLAGE_OF___OAK_PARK_2007.pdf
2007,03-0920-001,VILLAGE OF OAK PARK LIBRARY FUND,1537939260,7843490.23,0.510,030920001_VILLAGE_OF_OAK_PARK_LIBRARY_FUND_2007.pdf
2007,04-0580-000,SCHOOL DISTRICT 97,1537939260,47045561.96,3.059,040580000_SCHOOL_DISTRICT__97_2007.pdf
2007,04-2020-000,CONSOLIDATED HIGH SCHOOL 200,1537939260,43800510.12683701,2.8480000001324504,042020000_CONSOLIDATED_HIGH_SCHOOL__200_2007.pdf
2007,05-0760-000,OAK PARK PARK DISTRICT,1537939260,6874588.49,0.447,050760000_OAK_PARK_PARK_DISTRICT_2007.pdf
2008,02-0180-000,TOWN OAK PARK,1740601475,2088721.77,0.120,020180000_TOWN_OAK_PARK_2008.pdf
2008,02-0180-002,GENERAL ASSISTANCE OAK PARK,1740601475,435150.37,0.025,020180002_GENERAL_ASSISTANCE_OAK_PARK_2008.pdf
2008,02-0180-004,OAK PARK MENTAL HEALTH DISTRICT,1740601475,1340263.14,0.077,020180004_OAK_PARK_MENTAL_HEALTH_DISTRICT_2008.pdf
2008,03-0920-000,VILLAGE OF OAK PARK,1740601475,19268458.33,1.107,030920000_VILLAGE_OF___OAK_PARK_2008.pdf
2008,03-0920-001,VILLAGE OF OAK PARK LIBRARY FUND,1740601475,7937142.73,0.456,030920001_VILLAGE_OF_OAK_PARK_LIBRARY_FUND_2008.pdf
2008,04-0580-000,SCHOOL DISTRICT 97,1740601475,48893495.43,2.809,040580000_SCHOOL_DISTRICT__97_2008.pdf
2008,04-2020-000,CONSOLIDATED HIGH SCHOOL 200,1740601475,45551540.60048938,2.6169999999850266,042020000_CONSOLIDATED_HIGH_SCHOOL__200_2008.pdf
2008,05-0760-000,OAK PARK PARK DISTRICT,1740601475,7171278.08,0.412,050760000_OAK_PARK_PARK_DISTRICT_2008.pdf
2009,02-0180-000,TOWN OAK PARK,1844102316,2120717.66,0.115,020180000_TOWN_OAK_PARK_2009.pdf
2009,02-0180-002,GENERAL ASSISTANCE OAK PARK,1844102316,442584.56,0.024,020180002_GENERAL_ASSISTANCE_OAK_PARK_2009.pdf
2009,02-0180-004,OAK PARK MENTAL HEALTH DISTRICT,1844102316,1364635.71,0.074,020180004_OAK_PARK_MENTAL_HEALTH_DISTRICT_2009.pdf
2009,03-0920-000,VILLAGE OF OAK PARK,1844102316,20709269.01,1.123,030920000_VILLAGE_OF___OAK_PARK_2009.pdf
2009,03-0920-001,VILLAGE OF OAK PARK LIBRARY FUND,1844102316,8187814.28,0.444,030920001_VILLAGE_OF_OAK_PARK_LIBRARY_FUND_2009.pdf
2009,04-0580-000,SCHOOL DISTRICT 97,1844102316,48960916.49,2.655,040580000_SCHOOL_DISTRICT__97_2009.pdf
2009,04-2020-000,CONSOLIDATED HIGH SCHOOL 200,1844102316,45530886.178664066,2.4689999998169334,042020000_CONSOLIDATED_HIGH_SCHOOL__200_2009.pdf
2009,05-0760-000,OAK PARK PARK DISTRICT,1844102316,7818993.82,0.424,050760000_OAK_PARK_PARK_DISTRICT_2009.pdf
2010,02-0180-000,TOWN OAK PARK,1850649808,2202273.27,0.119,020180000_TOWN_OAK_PARK_2010.pdf
2010,02-0180-002,GENERAL ASSISTANCE OAK PARK,1850649808,444155.95,0.024,020180002_GENERAL_ASSISTANCE_OAK_PARK_2010.pdf
2010,02-0180-004,OAK PARK MENTAL HEALTH DISTRICT,1850649808,1425000.35,0.077,020180004_OAK_PARK_MENTAL_HEALTH_DISTRICT_2010.pdf
2010,03-0920-000,VILLAGE OF OAK PARK,1850649808,22004226.22,1.189,030920000_VILLAGE_OF___OAK_PARK_2010.pdf
2010,03-0920-001,VILLAGE OF OAK PARK LIBRARY FUND,1850649808,8346430.63,0.451,030920001_VILLAGE_OF_OAK_PARK_LIBRARY_FUND_2010.pdf
2010,04-0580-000,SCHOOL DISTRICT 97,1850649808,56111702.18,3.032,040580000_SCHOOL_DISTRICT__97_2010.pdf
2010,04-2020-000,CONSOLIDATED HIGH SCHOOL 200,1850649808,46802933.64108217,2.5289999998250434,042020000_CONSOLIDATED_HIGH_SCHOOL__200_2010.pdf
2010,05-0760-000,OAK PARK PARK DISTRICT,1850649808,8068833.16,0.436,050760000_OAK_PARK_PARK_DISTRICT_2010.pdf
2011,02-0180-000,TOWN OAK PARK,1596903799,2267603.39,0.142,020180000_TOWN_OAK_PARK_2011.pdf
2011,02-0180-002,GENERAL ASSISTANCE OAK PARK,1596903799,463102.10,0.029,020180002_GENERAL_ASSISTANCE_OAK_PARK_2011.pdf
2011,02-0180-004,OAK PARK MENTAL HEALTH DISTRICT,1596903799,1485120.53,0.093,020180004_OAK_PARK_MENTAL_HEALTH_DISTRICT_2011.pdf
2011,03-0920-000,VILLAGE OF OAK PARK,1596903799,22707972.02,1.422,030920000_VILLAGE_OF___OAK_PARK_2011.pdf
2011,03-0920-001,VILLAGE OF OAK PARK LIBRARY FUND,1596903799,8894754.16,0.557,030920001_VILLAGE_OF_OAK_PARK_LIBRARY_FUND_2011.pdf
2011,04-0580-000,SCHOOL DISTRICT 97,1596903799,57424660.61,3.596,040580000_SCHOOL_DISTRICT__97_2011.pdf
2011,04-2020-000,CONSOLIDATED HIGH SCHOOL 200,1596903799,48673627.79628697,3.0480000001732708,042020000_CONSOLIDATED_HIGH_SCHOOL__200_2011.pdf
2011,05-0760-000,OAK PARK PARK DISTRICT,1596903799,8271961.68,0.518,050760000_OAK_PARK_PARK_DISTRICT_2011.pdf
2012,02-0180-000,TOWN OAK PARK,1470162652,2411066.75,0.164,020180000_TOWN_OAK_PARK_2012.pdf
2012,02-0180-002,GENERAL ASSISTANCE OAK PARK,1470162652,470452.05,0.032,020180002_GENERAL_ASSISTANCE_OAK_PARK_2012.pdf
2012,02-0180-004,OAK PARK MENTAL HEALTH DISTRICT,1470162652,1484864.28,0.101,020180004_OAK_PARK_MENTAL_HEALTH_DISTRICT_2012.pdf
2012,03-0920-000,VILLAGE OF OAK PARK,1470162652,22978642.25,1.563,030920000_VILLAGE_OF___OAK_PARK_2012.pdf
2012,03-0920-001,VILLAGE OF OAK PARK LIBRARY FUND,1470162652,9423742.60,0.641,030920001_VILLAGE_OF_OAK_PARK_LIBRARY_FUND_2012.pdf
2012,04-0580-000,SCHOOL DISTRICT 97,1470162652,59041732.10,4.016,040580000_SCHOOL_DISTRICT__97_2012.pdf
2012,04-2020-000,CONSOLIDATED HIGH SCHOOL 200,1470162652,47809689.44145192,3.2519999998919795,042020000_CONSOLIDATED_HIGH_SCHOOL__200_2012.pdf
2012,05-0760-000,OAK PARK PARK DISTRICT,1470162652,8512241.76,0.579,050760000_OAK_PARK_PARK_DISTRICT_2012.pdf
2013,02-0180-000,TOWN OAK PARK,1369216060,2505665.39,0.183,020180000_TOWN_OAK_PARK_2013.pdf
2013,02-0180-002,GENERAL ASSISTANCE OAK PARK,1369216060,479225.62,0.035,020180002_GENERAL_ASSISTANCE_OAK_PARK_2013.pdf
2013,02-0180-004,OAK PARK MENTAL HEALTH DISTRICT,1369216060,1492445.51,0.109,020180004_OAK_PARK_MENTAL_HEALTH_DISTRICT_2013.pdf
2013,03-0920-000,VILLAGE OF OAK PARK,1369216060,24632196.92,1.799,030920000_VILLAGE_OF___OAK_PARK_2013.pdf
2013,03-0920-001,VILLAGE OF OAK PARK LIBRARY FUND,1369216060,9789894.83,0.715,030920001_VILLAGE_OF_OAK_PARK_LIBRARY_FUND_2013.pdf
2013,04-0580-000,SCHOOL DISTRICT 97,1369216060,59999047.75,4.382,040580000_SCHOOL_DISTRICT__97_2013.pdf
2013,04-2020-000,CONSOLIDATED HIGH SCHOOL 200,1369216060,40405565.93278351,2.951000000159471,042020000_CONSOLIDATED_HIGH_SCHOOL__200_2013.pdf
2013,05-0760-000,OAK PARK PARK DISTRICT,1369216060,8667137.66,0.633,050760000_OAK_PARK_PARK_DISTRICT_2013.pdf
2014,02-0180-000,TOWN OAK PARK,1383005873,2600051.04,0.188,020180000_TOWN_OAK_PARK_2014.pdf
2014,02-0180-002,GENERAL ASSISTANCE OAK PARK,1383005873,484052.06,0.035,020180002_GENERAL_ASSISTANCE_OAK_PARK_2014.pdf
